IK_INTERN,BEZ_KASSE,IK_AUFN_KASSE,VK_NUMMER,GBO
100001881,MDK Schl.-Holstein,100001886,01881,2
100003881,GSA BRHV.,,03881,2
100004880,GSA BRHV.,100003881,04880,2
100012880,MV  Wehnen,,12880,2
100027880,GSA K”ln Nichtsesshaften,,27880,2
100049882,MV  Interkr.Vers,,49882,1
100049883,MV  Mundenheim,,49883,1
100052880,GVU Karlsruhe,,52880,2
100054880,GSA Pforzheim,,54880,2
100054881,GSA Calw,,54881,2
100056880,GSA Freudenstadt,,56880,2
100056882,GSA Rastatt,,56882,2
100078881,MDK Meckl.-Vorp.,100078886,78881,2
100049882,MV  Interkr.Vers/SHT,,49882,1
100049883,MV  Mundenheim/SHT,,49883,1
101389487,GEK,101380002,01611,2
101389682,GEK,101380002,01611,2
101578000,BRAUNSCHWEIGER KASSE,,40613,2
101578603,GAERTNER-KRANKENKASSE,105177505,40612,2
101579001,HZK-Krankenkasse Bau u.,105189689,40614,2
101579216,GEK,105180009,40611,2
101589296,BRAUNSCHWEIGER KASSE,,02613,2
101589309,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
101589401,GAERTNER-KRANKENKASSE,101575519,02612,2
101589456,HZK-Krankenkasse Bau u.,101589684,02614,2
101589467,KEH Ersatzkasse,101520078,40617,2
101589489,GEK,101580004,02611,2
101589684,GEK,101580004,02611,2
101789298,BRAUNSCHWEIGER KASSE,,17613,2
101789301,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
101789403,GAERTNER-KRANKENKASSE,101777502,17612,2
101789458,HZK-Krankenkasse Bau u.,101789686,17614,2
101789469,KEH Ersatzkasse,101520078,40617,2
101789481,GEK,101780006,17611,2
101789686,GEK,101780006,17611,2
102178509,Buchdrucker-Krankenkasse,101789301,74616,2
103089295,BRAUNSCHWEIGER KASSE,,03613,2
103089308,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
103089400,GAERTNER-KRANKENKASSE,103077509,03612,2
103089455,HZK-Krankenkasse Bau u.,103089683,03614,2
103089466,KEH Ersatzkasse,101520078,40617,2
103089488,GEK,103080003,03611,2
103089683,GEK,103080003,03611,2
103489299,BRAUNSCHWEIGER KASSE,,19613,2
103489302,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
103489404,GAERTNER-KRANKENKASSE,103477503,19612,2
103489459,HZK-Krankenkasse Bau u.,103489687,19614,2
103489460,KEH Ersatzkasse,101520078,40617,2
103489482,GEK,103480007,19611,2
103489687,GEK,103480007,19611,2
104089297,BRAUNSCHWEIGER KASSE,,21613,2
104089300,BUCHDRUCKER-KRANKENKASSE,101789686,17616,2
104089402,GAERTNER-KRANKENKASSE,104077501,21612,2
104089457,HZK-Krankenkasse Bau u.,104089685,28614,2
104089468,KEH Ersatzkasse,101520078,40617,2
104089480,GEK,104080005,27611,2
104089685,GEK,104080005,27611,2
104927554,BKK Br?hler,104978011,37441,1
